timestamp,cpu_usage,ram_usage,disk_usage,bytes_sent,bytes_received,packets_sent,packets_received,active_connections,response_time_ms,time_diff_seconds,bytes_sent_diff,bytes_received_diff,packets_sent_diff,packets_received_diff,bytes_sent_per_second,bytes_received_per_second,packets_sent_per_second,packets_received_per_second,network_bytes_per_second,network_packets_per_second,high_cpu,high_ram,high_response_time,anomaly_prediction,anomaly_score,status
2026-08-19 12:11:32,12.0,84.6,71.8,3404430,17182727,6775,8301,104,510.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0975543038275089,NORMAL
2026-08-19 12:11:39,17.5,84.5,71.8,3428571,17224004,6823,8369,108,452.26,7.0,24141.0,41277.0,48.0,68.0,3448.714285714286,5896.714285714285,6.857142857142857,9.714285714285714,9345.42857142857,16.57142857142857,0,0,0,1,0.14096966345597362,NORMAL
2026-08-19 12:12:59,28.0,85.6,71.8,4469244,17857876,7400,9385,112,490.17,80.0,1040673.0,633872.0,577.0,1016.0,13008.4125,7923.4,7.2125,12.7,20931.8125,19.9125,0,0,0,1,0.0957027754249456,NORMAL
2026-08-19 12:13:05,7.7,84.6,71.8,4488568,17899982,7439,9437,112,427.31,6.0,19324.0,42106.0,39.0,52.0,3220.6666666666665,7017.666666666667,6.5,8.666666666666666,10238.333333333334,15.166666666666666,0,0,0,1,0.13189812212115531,NORMAL
2026-08-19 12:13:12,13.2,85.4,71.8,4534900,17938364,7482,9499,106,499.26,7.0,46332.0,38382.0,43.0,62.0,6618.857142857143,5483.142857142857,6.142857142857143,8.857142857142858,12102.0,15.0,0,0,0,1,0.1259830669507575,NORMAL
2026-08-19 12:13:18,18.7,88.4,71.8,4812982,19689756,8260,11212,161,464.58,6.0,278082.0,1751392.0,778.0,1713.0,46347.0,291898.6666666667,129.66666666666666,285.5,338245.6666666667,415.1666666666666,0,0,0,1,0.029908364886784167,NORMAL
2026-08-19 12:13:25,10.1,89.0,71.8,4895569,20839064,8508,12222,161,457.32,7.0,82587.0,1149308.0,248.0,1010.0,11798.142857142857,164186.85714285713,35.42857142857143,144.28571428571428,175985.0,179.71428571428572,0,0,0,1,0.09616153315487436,NORMAL
2026-08-19 12:13:31,20.4,89.3,71.8,5030421,24153574,8984,14900,162,461.14,6.0,134852.0,3314510.0,476.0,2678.0,22475.33333333333,552418.3333333334,79.33333333333333,446.3333333333333,574893.6666666667,525.6666666666666,0,0,0,1,0.07595050357867661,NORMAL
2026-08-19 12:13:38,13.2,91.3,71.8,5195167,28910557,9820,18700,164,438.28,7.0,164746.0,4756983.0,836.0,3800.0,23535.14285714286,679569.0,119.42857142857144,542.8571428571429,703104.1428571428,662.2857142857143,0,1,0,1,0.04914291022954165,NORMAL
2026-08-19 12:13:44,17.1,89.5,71.8,5248010,30221300,10043,19775,144,464.29,6.0,52843.0,1310743.0,223.0,1075.0,8807.166666666666,218457.16666666663,37.16666666666666,179.16666666666666,227264.3333333333,216.3333333333333,0,0,0,1,0.10987514244002838,NORMAL
2026-08-19 12:13:51,9.9,88.7,71.8,5271686,30638268,10119,20127,139,465.66,7.0,23676.0,416968.0,76.0,352.0,3382.285714285714,59566.857142857145,10.857142857142858,50.285714285714285,62949.14285714286,61.14285714285714,0,0,0,1,0.12496331305941183,NORMAL
2026-08-19 12:13:57,11.5,88.8,71.8,5277428,30657022,10142,20163,132,459.65,6.0,5742.0,18754.0,23.0,36.0,957.0,3125.6666666666665,3.8333333333333335,6.0,4082.6666666666665,9.833333333333334,0,0,0,1,0.14815770485934537,NORMAL
2026-08-19 12:14:04,11.0,88.6,71.8,5288911,30694059,10180,20217,124,458.62,7.0,11483.0,37037.0,38.0,54.0,1640.428571428571,5291.0,5.428571428571429,7.714285714285714,6931.428571428572,13.142857142857142,0,0,0,1,0.15129234079699383,NORMAL
2026-08-19 12:14:10,14.1,88.5,71.8,5294368,30718857,10198,20255,124,445.53,6.0,5457.0,24798.0,18.0,38.0,909.5,4133.0,3.0,6.333333333333333,5042.5,9.333333333333332,0,0,0,1,0.14790336191561015,NORMAL
2026-08-19 12:14:17,20.7,89.4,71.8,5393174,32089722,10467,21428,132,447.02,7.0,98806.0,1370865.0,269.0,1173.0,14115.142857142857,195837.85714285716,38.42857142857143,167.57142857142858,209953.0,206.0,0,0,0,1,0.10928514722396693,NORMAL
2026-08-19 12:14:23,14.7,88.4,71.8,5484573,34928756,10905,23720,132,430.75,6.0,91399.0,2839034.0,438.0,2292.0,15233.166666666666,473172.3333333333,73.0,382.0,488405.5,455.0,0,0,0,1,0.08226572945597788,NORMAL
2026-08-19 12:14:30,12.2,87.6,71.8,5506837,35447395,10989,24151,134,440.45,7.0,22264.0,518639.0,84.0,431.0,3180.5714285714284,74091.28571428571,12.0,61.57142857142857,77271.85714285714,73.57142857142857,0,0,0,1,0.11972732286321186,NORMAL
2026-08-19 12:14:36,6.2,87.7,71.8,5533164,35915422,11077,24548,135,428.62,6.0,26327.0,468027.0,88.0,397.0,4387.833333333333,78004.5,14.666666666666666,66.16666666666667,82392.33333333333,80.83333333333334,0,0,0,1,0.10100351816624659,NORMAL
