timestamp,cpu_usage,ram_usage,disk_usage,bytes_sent_per_second,bytes_received_per_second,packets_sent_per_second,packets_received_per_second,active_connections,response_time_ms,anomaly_score,status
2026-08-19 13:03:25,4.4,89.6,72.8,13371.921549492428,9371.605234272725,14.815986352665565,19.754648470220754,145,505.2,0.18336343539831168,NORMAL
2026-08-19 13:03:31,11.6,89.6,72.8,5416.032754647188,5597.63783281954,8.829081755235867,12.025818252821267,143,420.94,0.22546411309994036,NORMAL
2026-08-19 13:03:38,4.0,87.5,72.8,4110.411852971435,6115.936244522149,9.595810485888581,12.536462086402825,138,449.2,0.22985690785698115,NORMAL
2026-08-19 13:03:44,15.9,88.1,72.8,4493.836043682326,6845.575787801548,6.324783831347203,12.032515581587361,142,433.5,0.24939205542022524,NORMAL
2026-08-19 13:03:51,1.9,88.7,72.8,4385.204109030176,7472.428624590932,7.886223405639797,11.288123698268729,140,430.93,0.21925232510658127,NORMAL
2026-08-19 13:03:57,13.4,87.7,72.8,4572.663617387586,4841.407340065106,6.185125953452706,9.277688930179059,137,437.91,0.25099009477842144,NORMAL
2026-08-19 13:04:04,10.5,87.3,72.8,5071.628697150555,5351.02492142455,7.726665494302927,10.199198452479864,133,458.09,0.24251902801087855,NORMAL
2026-08-19 13:04:10,2.1,87.3,72.8,2959.4934677306155,6229.628146977467,10.791506107263794,12.33314983687291,140,422.46,0.22440179783851644,NORMAL
2026-08-19 13:04:17,2.1,87.0,72.8,834.274923127868,3647.7438667865085,2.6352050711954207,4.960386016367851,138,431.81,0.23974346721423995,NORMAL
2026-08-19 13:04:23,10.4,88.1,72.8,3507.414552620252,4363.568517457001,4.642917379808832,7.273903895033837,136,1094.13,0.13475803191379104,NORMAL
2026-08-19 13:04:30,14.2,91.5,72.8,7761.378383286656,7226.0189681525235,13.612021826477283,15.99763389915887,139,433.45,0.2166378696401367,NORMAL
2026-08-19 13:04:37,31.0,91.5,72.8,14879.861989928419,868455.1269630318,105.8058988841008,689.2057238260697,148,482.9,0.06790127782718036,NORMAL
2026-08-19 13:04:43,20.5,98.1,72.8,41472.67398796132,3876430.893120365,373.7492299658068,3023.8734869054715,160,498.32,-0.04937163325729699,ANOMALY
2026-08-19 13:04:50,27.2,96.3,72.8,35883.79122850538,3990693.9246629197,358.52946700253887,3097.126566955918,155,462.64,-0.0598178819404831,ANOMALY
2026-08-19 13:08:25,6.1,87.1,72.8,6685.0042161711635,616.2707349326184,6.92439028014178,3.956794445795303,166,502.47,0.2142315569721892,NORMAL
2026-08-19 13:08:32,12.5,86.1,72.8,5360.4913552795415,6572.115532322183,18.912562682941534,19.06508334973945,167,456.57,0.24019637542959238,NORMAL
2026-08-19 13:08:38,3.3,85.9,72.8,896.1314017353022,3915.6677895786656,3.694752386470925,6.465816676324119,164,461.69,0.2411447049939573,NORMAL
2026-08-19 13:08:45,5.4,86.7,72.8,5818.1085741962615,7183.6646416107105,12.611284776211829,20.147296410777432,171,434.36,0.22580588385105527,NORMAL
2026-08-19 13:08:51,31.8,98.2,72.8,8676.75811818209,77360.46089976256,40.16373997627416,76.15663003193524,184,549.97,0.09961824277112336,NORMAL
2026-08-19 13:08:58,47.8,96.1,72.8,37441.442483620565,3775060.801145293,372.0664474183354,2932.2415660380184,188,499.85,-0.056174925720518076,ANOMALY
2026-08-19 13:09:04,15.1,83.2,74.4,37355.36469458645,3636585.2585037085,364.02213536618814,2820.7894939500843,181,474.61,-0.010217516314190878,ANOMALY
2026-08-19 13:09:11,22.9,85.6,74.4,40269.79681111355,3965967.8715060917,386.8271518569033,3075.114615297534,184,465.52,-0.03422057744612894,ANOMALY
2026-08-19 13:09:17,9.4,87.5,74.4,24829.462613524087,1996665.058581805,220.44706512316426,1556.178202753145,175,463.69,0.022804004080213214,NORMAL
